slot,ref_tick,sz,shred_cnt
308015673,45,36579,38
308015673,48,33976,35
308015673,57,35366,37
308015673,59,46466,48
308015673,61,34051,35
308015673,0,18117,32
308015674,2,34198,36
308015674,6,33776,35
308015674,10,33690,35
308015674,17,36444,38
308015674,22,34561,36
308015674,27,33792,35
308015674,29,39770,41
308015674,31,42241,44
308015674,32,42996,45
308015674,34,37500,39
308015674,36,45869,48
308015674,38,40755,42
308015674,39,36230,38
308015674,40,49731,52
308015674,42,34511,36
308015674,43,34894,36
308015674,52,19313,20
308015674,62,488,1
308015674,0,104,32
308015675,1,35398,37
308015675,2,49841,52
308015675,2,43995,46
308015675,3,39942,41
308015675,4,34198,36
308015675,7,38215,40
308015675,13,34324,36
308015675,16,33974,35
308015675,25,40649,42
308015675,27,47610,49
308015675,29,34836,36
308015675,30,33965,35
308015675,31,49129,51
308015675,32,34126,36
308015675,33,37337,39
308015675,34,39378,41
308015675,36,37246,39
308015675,38,34076,35
308015675,41,33801,35
308015675,43,34024,35
308015675,45,33831,35
308015675,48,33663,35
308015675,48,33936,35
308015675,51,34712,36
308015675,60,20401,21
308015675,0,200,32
308015676,1,36287,38
308015676,2,37810,39
308015676,4,37204,39
308015676,5,38113,40
308015676,6,37475,39
308015676,8,41766,43
308015676,9,34114,35
308015676,9,34969,36
308015676,10,37169,39
308015676,11,48894,51
308015676,12,36917,38
308015676,13,35917,37
308015676,14,47604,49
308015676,15,33725,35
308015676,15,33673,35
308015676,16,34301,36
308015676,16,35392,37
308015676,17,34049,35
308015676,18,34471,36
308015676,18,34448,36
308015676,19,34161,36
308015676,21,34223,36
308015676,23,33651,35
308015676,25,33645,35
308015676,27,35385,37
308015676,31,33683,35
308015676,33,34240,36
308015676,37,33856,35
308015676,40,33680,35
308015676,43,33988,35
308015676,48,34519,36
308015676,57,7776,8
308015676,0,3232,32
308015677,2,33732,35
308015677,5,34246,36
308015677,9,34379,36
308015677,15,34492,36
308015677,23,34097,35
308015677,28,38114,40
308015677,30,37267,39
308015677,32,48665,50
308015677,33,38827,40
308015677,34,34640,36
308015677,35,38449,40
308015677,36,36129,38
308015677,38,37325,39
308015677,41,37370,39
308015677,43,34615,36
308015677,51,37008,38
308015677,60,33620,35
308015677,0,200,32
308015678,1,51021,53
308015678,2,45454,47
308015678,4,34134,36
308015678,14,28696,29
308015678,23,32201,34
308015678,29,43997,46
308015678,30,34388,36
308015678,31,45821,47
308015678,31,37403,39
308015678,32,43670,45
308015678,33,46867,49
308015678,34,40717,42
308015678,35,34717,36
308015678,36,34787,36
308015678,36,44815,46
308015678,38,35212,37
308015678,39,40996,43
308015678,42,37645,39
308015678,43,35197,37
308015678,45,36974,38
308015678,47,35030,36
308015678,48,34741,36
308015678,50,36997,38
308015678,54,35365,37
308015678,57,34364,36
308015678,0,17434,32
308015679,2,33789,35
308015679,11,25688,26
308015679,21,18956,20
308015679,22,35351,37
308015679,24,33910,35
308015679,25,34589,36
308015679,30,38242,40
308015679,32,34587,36
308015679,34,39732,41
308015679,35,37192,39
308015679,38,34540,36
308015679,41,37780,39
308015679,45,33699,35
308015679,48,38502,40
308015679,51,34116,35
308015679,53,34660,36
308015679,57,35741,37
308015679,0,26979,32
308015680,2,43680,45
308015680,3,43437,45
308015680,4,39775,41
308015680,5,45315,47
308015680,5,33854,35
308015680,6,46870,49
308015680,7,42823,44
308015680,9,33931,35
308015680,10,46841,49
308015680,10,49630,51
308015680,12,49892,52
308015680,13,47232,49
308015680,14,34141,36
308015680,14,36132,38
308015680,15,33972,35
308015680,16,35226,37
308015680,20,33915,35
308015680,21,33860,35
308015680,24,36901,38
308015680,26,34776,36
308015680,29,35859,37
308015680,32,34555,36
308015680,33,34119,35
308015680,35,33950,35
308015680,36,34238,36
308015680,38,34159,36
308015680,41,34253,36
308015680,47,35815,37
308015680,56,2717,3
308015680,61,34596,36
308015680,0,24205,32
308015681,2,34455,36
308015681,3,34624,36
308015681,5,36718,38
308015681,7,35279,37
308015681,9,34233,36
308015681,14,33807,35
308015681,18,34449,36
308015681,20,50095,52
308015681,21,36492,38
308015681,23,48098,50
308015681,25,35771,37
308015681,27,33709,35
308015681,28,37357,39
308015681,31,35249,37
308015681,33,34342,36
308015681,35,35126,37
308015681,38,34603,36
308015681,41,35607,37
308015681,45,34829,36
308015681,48,34053,35
308015681,57,33760,35
308015681,60,34438,36
308015681,0,13485,32
308015682,2,33898,35
308015682,4,34525,36
308015682,6,33726,35
308015682,9,33917,35
308015682,13,35446,37
308015682,16,35567,37
308015682,19,34349,36
308015682,20,34425,36
308015682,22,37292,39
308015682,23,35598,37
308015682,25,40016,42
308015682,26,48776,51
308015682,28,33689,35
308015682,30,36638,38
308015682,31,37890,39
308015682,35,36953,38
308015682,38,33721,35
308015682,40,35222,37
308015682,42,35608,37
308015682,45,34306,36
308015682,55,8583,9
308015682,0,440,32
308015683,1,41740,43
308015683,3,39379,41
308015683,7,36006,37
308015683,11,38368,40
308015683,15,35167,37
308015683,17,35671,37
308015683,20,34703,36
308015683,22,34811,36
308015683,24,48450,50
308015683,27,48076,50
308015683,29,34551,36
308015683,30,33918,35
308015683,33,41253,43
308015683,36,36147,38
308015683,39,34591,36
308015683,42,48524,50
308015683,46,33819,35
308015683,50,34185,36
308015683,59,26289,27
308015683,0,248,32
308015684,1,40131,42
308015684,2,51668,53
308015684,4,34429,36
308015684,4,34825,36
308015684,5,34164,36
308015684,5,35479,37
308015684,6,52083,54
308015684,7,33663,35
308015684,8,43590,45
308015684,9,42433,44
308015684,10,40346,42
308015684,11,40984,43
308015684,12,40976,43
308015684,13,34088,35
308015684,14,34230,36
308015684,21,34756,36
308015684,26,34118,35
308015684,30,34365,36
308015684,31,34550,36
308015684,38,34753,36
308015684,43,33808,35
308015684,45,41011,43
308015684,48,34905,36
308015684,50,35297,37
308015684,52,36104,38
308015684,54,33832,35
308015684,56,34007,35
308015684,0,26418,32
308015685,4,34983,36
308015685,8,34513,36
308015685,12,35328,37
308015685,13,34393,36
308015685,15,34385,36
308015685,17,34396,36
308015685,18,46662,48
308015685,20,42532,44
308015685,21,34101,35
308015685,23,34478,36
308015685,26,41729,43
308015685,29,36983,38
308015685,32,38735,40
308015685,34,40043,42
308015685,37,35756,37
308015685,41,36524,38
308015685,51,30321,31
308015685,61,488,1
308015685,0,152,32
308015686,1,49825,52
308015686,2,33680,35
308015686,3,51761,54
308015686,4,35398,37
308015686,5,36656,38
308015686,8,35537,37
308015686,9,33970,35
308015686,11,44200,46
308015686,13,47622,49
308015686,15,33838,35
308015686,16,40173,42
308015686,18,34878,36
308015686,20,38349,40
308015686,22,44858,47
308015686,25,34200,36
